udise_code,school_name,district,village,longitude,latitude,school_category,management
18050607302,UTTAR MILANPUR  VLP,BARPETA,KAWAIMARI 2 BLOCK -S LESS,91.156516999745,26.4155170003396,Primary,Unrecognized
18100103804,2 NO LALI PATHER MUKTAB,NAGAON,LALI PATHAR,92.4523670002439,26.4155329998945,Primary,Department of Education
18080320501,N.K. GADHOWA,DARRANG,NONKE GADHOWA,92.0512330004224,26.4155500002741,Primary,Department of Education
18080105301,PUB NAODINGA L.P. SCHOOL,DARRANG,NOWDINGA,91.8189169997318,26.4155669998466,Primary,Department of Education
18050205002,ATA BHOWKAMARI SHUAGPUR HIGH SCHOOL,BARPETA,SWAGPUR,91.080000000437,26.4156329996777,Secondary Only,Government Aided
18190603405,SARIHUTI ENGLISH L.P,KARBI ANGLONG,JONGPHA,93.664467000329,26.4156500000425,Primary,Department of Education
18180210302,GHILADHARI BAGAN NATUN LINE LP,GOLAGHAT,GHILADHARI BAGAN,94.0648999998185,26.4156669996003,Primary,Department of Education
18040404103,JAYANTIPARA LPS,BONGAIGAON,1 NO. NOWAPARA,90.627082999643,26.4157000002964,Primary,Department of Education
18100104802,BATABARI BODO MEDIUM  LPS,NAGAON,BATABARI,92.4859499997111,26.4157000002964,Primary,Department of Education
18050203601,1625 PASCHIM ATA L.P.,BARPETA,ATA GAON,91.0869330001704,26.4157169998469,Primary,Department of Education
18090117418,LOCHANABORI HIGH SCHOOL (V),MORIGAON,LOCHANABORI,92.3950330001104,26.4157499997242,Secondary Only,Unrecognized
18010100802,NO.564 MAYNAGURI LPS,KOKRAJHAR,MAYNAGURI,90.1566330000356,26.4157999999348,Primary,Department of Education
18070215903,DAKSHIN BHOJKUCHI LPS,NALBARI,BHOJKUCHI,91.2720329997587,26.4157999999348,Primary,Department of Education
18050205003,ATA BHOWKAMARI SHUAGPUR GIRLS MEM,BARPETA,SWAGPUR,91.0801500002248,26.415817000275,Upper Primary only,Government Aided
18060806007,ARUNUDOY LPS,KAMRUP-RURAL,NAKUL,91.6504169997199,26.415817000275,Primary,Department of Education
18170614601,663 NO RAIDANGJURI LP,JORHAT,RAIDANGJURI,94.1241499995535,26.415817000275,Primary,Department of Education
18050600711,KAWAIMARI NAVAJAGARAN LPS,BARPETA,KAWAIMARI 1 NO. BLOCK.,91.12581700035,26.4158329997883,Primary,Unrecognized
18080200201,232 NO. KAMARPARA BINA BIDYAPITH L.P. S,DARRANG,KAMARPARA,91.9999499999405,26.4158329997883,Primary,Department of Education
18010204903,MOINATOLA LPS,KOKRAJHAR,AMINKATA,90.07763299979,26.415882999963,Primary,Department of Education
18101012501,GORIA JAN BASTI LPS,NAGAON,GORIAJAN BASTI,92.8833829998509,26.415882999963,Primary,Department of Education
18050600609,UTTAR NALIGAON BALIKA LPS,BARPETA,NALIGAON,91.1162669997848,26.4159169998119,Primary,Department of Education
18090101703,PASCHIM LENGRIBORI LP,MORIGAON,LENGRIBORI,92.4029330003146,26.4159169998119,Primary,Department of Education
18101013505,SAMAGURI HS SCHOOL,NAGAON,SAMAGURI GRANT,92.8407829999209,26.4159169998119,Upper Pri. Secondary and Higher Sec,Department of Education
18010523913,"COMMERCE COLLEGE, KOKRAJHAR",KOKRAJHAR,KOK W/NO. 5,90.2803830001643,26.4159330001159,Higher Secondary only/Jr. College,Department of Education
18010201201,BHABANICHARA LPS,KOKRAJHAR,BHABANICHARA,90.1283499996592,26.415949999632,Primary,Department of Education
18100200209,JAMUGURI KN GIRLS HS,NAGAON,JAMUGURI,92.594799999955,26.415949999632,Upper Pri. and Secondary,Department of Education
18190803702,RONGAGORA GOVT. ME SCHOOL,KARBI ANGLONG,RONGAGORA,92.9908670003142,26.415949999632,Upper Primary only,Department of Education
18060812107,MADHUKUCHI LPS,KAMRUP-RURAL,MADHUKUCHI,91.6635330002477,26.4159830002472,Primary,Department of Education
18090108707,BORHOLOWKANDA CHAPORI L.P.,MORIGAON,BORHALOWKANDA GAON,92.2678829997005,26.4159830002472,Primary,Department of Education
18080219902,MAHA KABI KALIDAS L.P.SCHOOL,DARRANG,PATALSING PARA,91.9552670000044,26.4159999997559,Primary,Department of Education
18090117511,MASTER CHUBURI LP (E),MORIGAON,BAHALARMUKH,92.370933000363,26.4159999997559,Primary,Department of Education
18190805102,PHELOSO LANGSO L.P,KARBI ANGLONG,KLENG BEY GAON,92.9907669998567,26.4159999997559,Primary,Department of Education
18060601801,SALEDAL LPS,KAMRUP-RURAL,SALEDAL,91.7656170002644,26.4160170000666,Primary,Department of Education
18100902507,ROWMARI PRE SR. MADRASSA,NAGAON,ROWMARI,92.7116669996807,26.4160330003568,Upper Primary only,Government Aided
18100101109,PUB GEROKANI A.K. BALIKA MKB,NAGAON,GEREKANI,92.4659669995721,26.4160499998581,Primary,Department of Education
18100100902,BATAMARI MUKTAB LPS,NAGAON,BATAMARI,92.5686670004302,26.4160499998581,Primary,Department of Education
18100902506,PUB ROWMARI MEM,NAGAON,ROWMARI,92.7118330002604,26.4160829996402,Upper Primary only,Government Aided
18010214301,NO.739 MAZADABRI LPS,KOKRAJHAR,MAZADABRI NO.1,89.8643999996132,26.4160999999386,Primary,Department of Education
18010218204,AMINKATA USHATARI LPS (NP),KOKRAJHAR,USHATARI,90.0724499999767,26.4160999999386,Primary,Department of Education
18170623001,KAKADUNGA URUNGIAL LP,JORHAT,URUNGIAL,94.1153670003408,26.4161329997064,Primary,Department of Education
18090117402,NIMTALA LP,MORIGAON,LOCHANABORI,92.3852170003047,26.4161670002861,Primary,Department of Education
